Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,9.64,9.78,9.61,9.61,9100,9.61
2014-12-05,9.55,9.55,9.55,9.55,000,9.55
2014-12-04,9.55,9.55,9.55,9.55,500,9.55
2014-12-03,9.65,9.65,9.65,9.65,000,9.65
2014-12-02,9.65,9.65,9.65,9.65,000,9.65
2014-12-01,9.68,9.70,9.65,9.65,2300,9.65
2014-11-28,9.70,9.70,9.70,9.70,000,9.70
2014-11-26,9.70,9.70,9.70,9.70,000,9.70
2014-11-25,9.70,9.70,9.60,9.70,1100,9.70
2014-11-24,9.64,9.64,9.64,9.64,000,9.64
2014-11-21,9.64,9.64,9.64,9.64,000,9.64
2014-11-20,9.64,9.64,9.64,9.64,000,9.64
